route_id,stop_id,hour,pred_actual_diff_arrival,prediction_tendency
2235,58344,08,00:09:52,Later
2235,5054,08,00:09:51,Later
2235,23930,08,00:09:42,Later
2235,63190,08,00:09:35,Later
778,5044,08,00:10:51,Later
778,5045,08,00:09:15,Later
778,6854,08,00:08:05,Later
778,5036,08,00:04:42,Later
790,5049,07,00:21:39,Later
790,23509,07,00:21:07,Later
790,5050,07,00:18:31,Later
790,5042,07,00:17:42,Later
790,5043,07,00:16:39,Later
790,6248,07,00:15:21,Later
790,5044,07,00:11:05,Later
790,5044,08,00:16:39,Later
790,5039,07,00:38:07,Later
2235,58343,08,00:23:10,Later
2235,63189,08,00:26:25,Later
2235,5039,08,00:26:09,Later
2235,5040,08,00:25:49,Later
2235,5041,08,00:23:01,Later
2235,5042,08,00:21:07,Later
790,5049,08,00:21:52,Later
790,23509,08,00:22:10,Later
790,5050,08,00:20:06,Later
790,5042,08,00:19:34,Later
790,5043,08,00:18:02,Later
790,6248,08,00:16:10,Later
790,5044,09,00:05:25,Later
778,58343,08,00:29:09,Later
778,63189,08,00:28:55,Later
778,5039,08,00:28:58,Later
778,5040,08,00:25:42,Later
778,5041,08,00:21:47,Later
778,5042,08,00:19:12,Later
778,5043,08,00:17:02,Later
778,6248,08,00:16:31,Later
790,5039,08,00:28:40,Later
2235,5049,09,00:13:40,Later
2235,23509,09,00:12:39,Later
2235,5050,09,00:12:16,Later
2235,58344,09,00:08:40,Later
2235,5054,09,00:08:32,Later
2235,23930,09,00:08:47,Later
2235,63190,09,00:05:48,Later
778,58343,09,00:26:18,Later
778,63189,09,00:25:22,Later
778,5039,09,00:25:18,Later
778,5040,09,00:22:04,Later
778,5041,09,00:18:48,Later
778,5042,09,00:16:12,Later
778,5043,09,00:14:45,Later
778,6248,09,00:13:17,Later
778,5044,09,00:11:29,Later
778,5045,09,00:09:18,Later
778,6854,09,00:07:41,Later
778,5036,09,00:04:35,Later
790,5049,09,00:18:16,Later
790,23509,09,00:18:36,Later
790,5050,09,00:16:45,Later
790,5042,09,00:16:24,Later
790,5043,09,00:15:36,Later
790,6248,09,00:14:31,Later
2235,58343,09,00:21:10,Later
2235,63189,09,00:24:33,Later
2235,5039,09,00:24:28,Later
2235,5040,09,00:24:17,Later
2235,5041,09,00:21:43,Later
2235,5042,09,00:19:44,Later
2235,5049,10,00:12:00,Later
2235,23509,10,00:12:22,Later
2235,5050,10,00:12:08,Later
2235,58344,10,00:07:33,Later
2235,5054,10,00:07:30,Later
2235,23930,10,00:07:17,Later
2235,63190,10,00:07:16,Later
778,5044,10,00:10:25,Later
778,5045,10,00:09:55,Later
778,6854,10,00:08:57,Later
778,5036,10,00:05:51,Later
790,5044,10,00:12:00,Later
790,5042,10,00:16:54,Later
790,5043,10,00:16:16,Later
790,6248,10,00:15:15,Later
2235,58343,10,00:21:01,Later
2235,63189,10,00:24:14,Later
2235,5039,10,00:24:07,Later
2235,5040,10,00:23:50,Later
2235,5041,10,00:20:58,Later
2235,5042,10,00:19:18,Later
790,5049,10,00:20:17,Later
790,23509,10,00:19:35,Later
790,5050,10,00:17:20,Later
778,58343,10,00:28:35,Later
778,63189,10,00:28:01,Later
778,5039,10,00:27:57,Later
778,5040,10,00:24:47,Later
778,5041,10,00:22:21,Later
778,5042,10,00:18:42,Later
778,5043,10,00:16:53,Later
778,6248,10,00:13:41,Later
2235,58344,11,00:00:06,Later
2235,5054,11,00:00:22,Later
2235,23930,11,00:00:48,Later
2235,63190,11,00:00:50,Later
790,5044,11,00:13:15,Later
2235,63189,11,00:09:50,Later
2235,5039,11,00:09:29,Later
2235,5040,11,00:09:27,Later
2235,5041,11,00:07:16,Later
2235,5042,11,00:06:05,Later
2235,5049,11,23:52:03,Later
2235,23509,11,23:55:42,Later
2235,5050,11,23:55:35,Later
2235,58343,11,00:05:54,Later
790,5049,11,00:18:35,Later
790,23509,11,00:18:57,Later
790,5050,11,00:16:47,Later
790,5042,11,00:15:49,Later
790,5043,11,00:14:57,Later
790,6248,11,00:13:45,Later
778,63189,11,00:56:49,Later
778,5039,11,00:54:00,Later
778,5040,11,00:48:45,Later
778,5041,11,00:45:17,Later
778,5042,11,00:31:19,Later
778,5043,11,00:28:12,Later
778,6248,11,00:25:57,Later
778,5044,11,00:23:32,Later
778,58343,11,00:41:24,Later
778,5045,11,23:58:29,Later
778,6854,11,23:57:53,Later
778,5036,11,23:55:46,Later
790,5044,12,00:15:34,Later
790,5049,12,00:25:35,Later
790,23509,12,00:25:23,Later
790,5050,12,00:23:25,Later
790,5042,12,00:23:29,Later
790,5043,12,00:22:36,Later
790,6248,12,00:21:37,Later
