trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
670302,22:45:00,22:45:00,5049,1,,,,1
670302,22:46:00,22:46:00,23509,2,,,,1
670302,22:48:00,22:48:00,5050,3,,,,1
670302,22:50:00,22:50:00,5042,4,,,,1
670302,22:51:00,22:51:00,5043,5,,,,1
670302,22:52:00,22:52:00,6248,6,,,,1
670302,22:55:00,22:55:00,5044,7,,,,1
670302,22:58:00,22:58:00,5045,8,,,,1
670302,22:59:00,22:59:00,6854,9,,,,1
670302,23:05:00,23:05:00,5046,10,,,,1
670302,23:12:00,23:12:00,5047,11,,,,1
670302,23:15:00,23:15:00,5048,12,,,,1
670302,23:17:00,23:17:00,5049,13,,,,1
670303,23:25:00,23:25:00,5049,1,,,,1
670303,23:26:00,23:26:00,23509,2,,,,1
670303,23:28:00,23:28:00,5050,3,,,,1
670303,23:30:00,23:30:00,5042,4,,,,1
670303,23:31:00,23:31:00,5043,5,,,,1
670303,23:32:00,23:32:00,6248,6,,,,1
670303,23:35:00,23:35:00,5044,7,,,,1
670303,23:38:00,23:38:00,5045,8,,,,1
670303,23:39:00,23:39:00,6854,9,,,,1
670303,23:45:00,23:45:00,5046,10,,,,1
670303,23:52:00,23:52:00,5047,11,,,,1
670303,23:55:00,23:55:00,5048,12,,,,1
670303,23:57:00,23:57:00,5049,13,,,,1
671177,16:20:00,16:20:00,5048,1,,,,1
671177,16:25:00,16:25:00,132600,2,,,,1
671177,16:26:00,16:26:00,5049,3,,,,1
670305,16:50:00,16:50:00,5049,1,,,,1
670305,16:51:00,16:51:00,23509,2,,,,1
670305,16:53:00,16:53:00,5050,3,,,,1
670305,16:55:00,16:55:00,5042,4,,,,1
670305,16:56:00,16:56:00,5043,5,,,,1
670305,16:57:00,16:57:00,6248,6,,,,1
670305,17:00:00,17:00:00,5044,7,,,,1
670305,17:03:00,17:03:00,5045,8,,,,1
670305,17:04:00,17:04:00,6854,9,,,,1
670305,17:10:00,17:10:00,5046,10,,,,1
670305,17:17:00,17:17:00,5047,11,,,,1
670305,17:20:00,17:20:00,5048,12,,,,1
670305,17:25:00,17:25:00,132600,13,,,,1
670305,17:26:00,17:26:00,5049,14,,,,1
